0,tcp,ftp_data,SF,491,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.10,0.11,0.12,0.13,0.14,0.15,0.16,0.18,2,2.1,0.00,0.00.1,0.00.2,0.00.3,1.00,0.00.4,0.00.5,150,25,0.17,0.03,0.17.1,0.00.6,0.00.7,0.00.8,0.05,0.00.9,normal,20
0.0,0.5,0.31081291247493337,0.9013829887328629,0.0016170311425662478,0.0009290119712820929,0.0,0.0004819591304656089,0.0,0.0,0.0,1.0,0.0018164435128938227,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.033893179966560674,0.01,0.09,0.0,0.0,0.13,0.0,0.97,0.04579014356798845,0.03308187339050899,0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.42814880116509957,0.9960283935825887
0.0,0.5,0.3300805632177981,0.5078499667554313,0.0,0.0,0.0,0.0011938527831128276,0.0,0.0011853386166370962,0.0,0.0,0.0028825329759554013,0.0,0.0,0.0007461982202897535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11336037659901094,0.0,0.0,0.0,0.0,1.0,0.07,0.0,1.0,0.09310738804554562,0.85,0.11,0.01,0.0,0.0,0.99,1.0,0.11,0.5257389161992175,0.9979965568311694
0.0,0.5,0.3047632586078238,0.8915781779164483,0.0,0.002761155877913438,0.0,0.0012709493921887094,0.0,0.0,0.0,1.0,0.001148937280980667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028346779691008718,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.02147701576458684,0.0,0.1,0.01,0.08,0.01,0.0,0.0,0.0,0.4265177280966195,0.8530559752404695
0.00020123210157673717,0.5,0.6721339174847463,0.8971020766595942,0.0,0.0013193669364840236,0.0,0.0022035657114243216,0.0,0.0,0.0,1.0,0.0013863823670453221,0.0,0.0,0.001134939181337247,0.0,0.0,0.0,0.0,0.0,0.0,0.1512346648372101,0.006483191688667369,0.99,0.98,0.0,0.0,0.03,0.07,0.0,0.9998577649553663,0.9981605832150137,0.16,0.08,1.0,0.0,0.0,0.01,0.0,0.01,0.9747310217068487,1.0
0.0,0.0,0.33822007306981733,0.8960942000974249,0.0013721686756661513,0.0018559584444859717,0.0,0.0,0.0,0.00256825548613061,0.0,0.0,0.0014749882038040951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49899132482929937,0.0008235350454313256,0.01,0.97,0.0,0.0,1.0,0.04,0.01,0.9965254306831383,0.4260871488405141,0.78,0.01,0.31,0.0,0.0,0.99,0.0,0.0,0.7559713099360338,1.0
0.0,0.5,0.344050714710431,0.8982573029322225,0.0,0.0,0.0,0.001476379320879415,0.0,0.0008266560901706298,0.0,0.0,0.002607752025223945,0.0,0.0,0.0,0.000189540796995454,0.0,0.003,0.0,0.0,0.0,0.0,0.15599136340054642,0.0,0.01,0.0,0.0,1.0,0.0,0.18,1.0,0.9848343371802647,1.0,0.0,0.0,0.28,1.0,0.99,0.0,0.0,0.523913135148152,0.8552936441332923
0.0,0.5,0.7910145477603732,0.8999397596239764,0.0,0.0015270284830655877,0.0,0.0,0.0,0.0006050894412897818,0.0,0.0,0.003135901377327526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008711901652751443,0.004929208345776873,0.0,0.0,0.0,0.0,1.0,0.0,0.55,1.0,0.10969117831803582,0.98,0.1,0.0,0.0,0.01,0.0,0.0,1.0,0.5241758345719822,0.9516540353401439
0.0,0.5,0.720536185193948,0.5102521914054059,0.001837181548925629,0.0025598051885509683,0.0,0.0005581709996977416,0.0,0.0,0.0,0.0,0.0014655553020843236,0.0,0.0,0.0017388671224572842,0.0,0.0,0.002,0.0,0.0,0.0,0.003482205752191249,0.01364315401492937,0.01,1.0,0.0,0.0,0.25,0.0,0.0,1.0,0.03800202555558847,0.98,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.5282187473965062,0.8522894178607003
0.0,0.5,0.717327470275772,0.8956645185002905,0.00147459627581912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0019044465666975424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.010878971553740839,0.0546597669914339,0.01,0.99,0.0,0.0,0.08,0.0,0.0,0.997842664699974,0.03496002387204648,0.99,0.02,0.04,0.02,1.0,0.0,0.0,0.07,0.4277859067362682,0.9457521183852742
0.0,1.0,0.820794616599135,0.8995294764298666,0.0016051856811991948,0.000287142329029629,0.0,0.0015562454082984518,0.0,0.00010652769752969445,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.00282891657999449,0.01,1.0,0.0,0.0,0.13,0.0,0.0,0.10705870532174114,0.9839035672887916,0.0,0.0,0.01,0.55,0.0,1.0,0.0,0.01,0.5220585812920203,0.996662905975203
